t,vx,wz
16.764,0.1632,-0.1827
16.805,0.1632,-0.1827
16.875,0.1662,-0.1791
16.904,0.1662,-0.1791
16.965,0.141,-0.1618
17.005,0.1338,-0.1824
17.053,0.1246,-0.1944
17.116,0.1345,-0.1907
17.155,0.1354,-0.1902
17.208,0.1354,-0.1902
17.296,0.133,-0.1371
17.319,0.1008,-0.1338
17.377,0.1014,-0.144
17.405,0.1139,-0.1449
17.455,0.1227,-0.1477
17.515,0.1227,-0.1477
17.555,0.1165,-0.0961
17.604,0.0915,-0.123
17.654,0.0911,-0.1201
17.717,0.0911,-0.1201
17.765,0.1034,-0.1286
17.807,0.1201,-0.1346
17.864,0.1235,-0.1389
17.914,0.1198,-0.0928
17.953,0.1116,-0.1275
18.015,0.1042,-0.128
18.045,0.1153,-0.1398
18.104,0.1235,-0.1498
18.155,0.128,-0.1568
18.215,0.1209,-0.1113
18.279,0.1209,-0.1113
18.326,0.1151,-0.143
18.344,0.1067,-0.149
18.405,0.1193,-0.157
18.447,0.1244,-0.1715
18.544,0.1244,-0.1715
18.575,0.1295,-0.1809
18.639,0.1304,-0.1844
18.687,0.1205,-0.1367
18.737,0.1121,-0.1038
18.778,0.1097,-0.1371
18.814,0.1071,-0.1464
18.853,0.1041,-0.1444
18.915,0.1165,-0.1552
18.955,0.1234,-0.1716
19.005,0.1248,-0.1791
19.064,0.1125,-0.1388
19.105,0.1066,-0.1674
19.156,0.1039,-0.1856
19.224,0.1153,-0.1964
19.264,0.1261,-0.2006
19.34,0.1272,-0.2048
19.385,0.1217,-0.1678
19.426,0.1068,-0.1398
19.466,0.0909,-0.1113
19.517,0.0891,-0.1359
19.575,0.0879,-0.1471
19.604,0.1018,-0.1525
19.675,0.1115,-0.1673
19.715,0.103,-0.1336
19.755,0.0908,-0.0994
19.807,0.076,-0.0727
19.866,0.075,-0.0949
19.927,0.0726,-0.1031
19.988,0.0886,-0.1114
20.025,0.1014,-0.1336
20.089,0.111,-0.1507
20.149,0.1174,-0.1607
20.152,0.1208,-0.1615
20.215,0.1219,-0.1657
20.287,0.1152,-0.1463
20.347,0.1033,-0.1338
20.412,0.0882,-0.1077
20.455,0.0732,-0.0842
20.508,0.0768,-0.1125
20.552,0.0812,-0.1359
20.583,0.102,-0.152
20.626,0.1144,-0.1508
20.665,0.1227,-0.1628
20.705,0.1225,-0.1462
20.764,0.1159,-0.1478
20.839,0.0956,-0.135
20.887,0.1094,-0.1672
20.914,0.1233,-0.1846
20.964,0.1368,-0.1733
21.005,0.1458,-0.1731
21.065,0.1449,-0.1394
21.115,0.1366,-0.1286
21.153,0.1575,-0.1563
21.215,0.1759,-0.17
21.255,0.1834,-0.1584
21.336,0.1875,-0.1451
21.377,0.1825,-0.0905
21.416,0.1747,-0.0657
21.445,0.1295,-0.1062
21.515,0.1134,-0.0731
21.568,0.1232,-0.0941
21.608,0.124,-0.1209
21.686,0.1291,-0.1334
21.729,0.1304,-0.1577
21.765,0.1282,-0.1729
21.804,0.1189,-0.1388
21.876,0.1117,-0.0952
21.914,0.1002,-0.0596
21.954,0.1297,-0.0949
22.035,0.1532,-0.1064
22.064,0.161,-0.0849
22.104,0.1647,-0.0762
22.154,0.1606,-0.0716
22.215,0.1486,-0.0159
22.254,0.1159,-0.032
22.326,0.1447,-0.0745
22.357,0.1633,-0.0663
22.426,0.1701,-0.0585
22.456,0.0708,-0.2185
22.529,0.0074,-0.2546
22.559,-0.0313,-0.2409
22.596,-0.0353,-0.1779
22.666,-0.0015,-0.2055
22.715,0.0212,-0.1843
22.786,0.0397,-0.1773
22.814,0.0489,-0.1754
22.854,0.0469,-0.1485
22.915,0.0301,-0.1225
22.954,0.0567,-0.1504
23.016,0.081,-0.1576
23.075,0.0973,-0.1602
23.105,0.1072,-0.1567
23.164,0.0983,-0.1109
23.214,0.0983,-0.1109
23.276,0.0812,-0.1196
23.314,0.1068,-0.1266
23.385,0.1243,-0.1227
23.416,0.1335,-0.1172
23.466,0.1279,-0.0631
23.503,0.1161,-0.0263
23.563,0.0999,-0.0015
23.604,0.1355,-0.0153
23.666,0.148,-0.0135
23.704,0.1531,-0.0064
23.754,0.152,0.0022
23.803,0.1411,0.0548
23.864,0.1386,0.0706
23.915,0.1721,0.053
23.974,0.1775,0.0625
24.014,0.1783,0.0715
24.043,0.1676,0.1192
24.113,0.1581,0.1486
24.157,0.1425,0.167
24.214,0.1809,0.1305
24.254,0.1877,0.1363
24.314,0.1858,0.1501
24.375,0.1714,0.1976
24.415,0.1564,0.2282
24.485,0.1334,0.2306
24.505,0.1141,0.2441
24.576,0.1354,0.2323
24.604,0.149,0.2266
24.665,0.1522,0.2263
24.706,0.1484,0.2613
24.775,0.1429,0.28
24.815,0.1314,0.2781
24.856,0.1533,0.2585
24.916,0.1683,0.2552
24.987,0.1765,0.2556
25.046,0.1755,0.2977
25.101,0.1678,0.3284
25.133,0.1603,0.3457
25.197,0.1574,0.3486
25.247,0.147,0.3571
25.333,0.1376,0.3524
25.357,0.1609,0.3326
25.41,0.1864,0.3246
25.456,0.1864,0.3246
25.488,0.1851,0.3294
25.526,0.1789,0.3708
25.555,0.1738,0.3909
25.615,0.1706,0.4061
25.654,0.1626,0.4159
25.726,0.1832,0.3867
25.765,0.1929,0.3828
