t,vx,wz
26.897,0.2463,-1.6284
26.935,0.2053,-1.4684
27.005,0.26,-1.3084
27.047,0.26,-1.2453
27.106,0.2326,-1.2453
27.147,0.2326,-1.2453
27.174,0.2326,-1.2453
27.255,0.26,-1.0853
27.305,0.26,-1.0537
27.356,0.26,-1.0537
27.416,0.26,-1.0537
27.456,0.26,-1.0537
27.497,0.26,-1.0537
27.536,0.26,-1.0537
27.607,0.26,-1.0537
27.656,0.2463,-0.8937
27.686,0.2326,-0.8621
27.756,0.2326,-0.8621
27.796,0.2326,-0.8621
27.846,0.2326,-0.8621
27.907,0.26,-0.8621
27.934,0.2463,-0.8621
28.009,0.2463,-0.8621
28.046,0.2326,-0.8621
28.075,0.2326,-0.8621
28.145,0.2189,-0.8621
28.22,0.2189,-0.8621
28.245,0.2189,-0.8621
28.306,0.2463,-0.8621
28.346,0.2463,-0.8621
28.406,0.2326,-0.8621
28.446,0.2326,-0.8621
28.508,0.2326,-0.8621
28.545,0.2326,-0.8621
28.585,0.2326,-0.8621
28.655,0.2326,-0.8621
28.697,0.1779,-0.7021
28.735,0.1779,-0.6705
28.797,0.1779,-0.6705
28.835,0.2053,-0.6705
28.897,0.2053,-0.6705
28.935,0.1916,-0.6705
29.009,0.1916,-0.6705
29.045,0.1916,-0.6705
29.107,0.1916,-0.6705
29.145,0.1779,-0.6705
29.214,0.1779,-0.6705
29.246,0.1779,-0.6705
29.295,0.1779,-0.6705
29.348,0.1779,-0.6705
29.387,0.1779,-0.6705
29.467,0.1779,-0.6705
29.495,0.1779,-0.6705
29.535,0.0529,-0.5105
29.606,0.1642,-0.4789
29.646,0.1505,-0.4789
29.73,0.1505,-0.4789
29.762,0.1505,-0.4789
29.806,0.1505,-0.4789
29.846,0.1505,-0.4789
29.886,0.1505,-0.4789
29.957,0.0255,-0.3189
29.997,0.0,-0.1589
30.055,0.0,0.0011
