t,vx,wz
25.558,0.0,1.0
25.62,0.0,1.0
25.679,0.0,1.0
25.729,0.0,1.0
25.757,0.0,1.0
25.819,0.0,1.0
25.858,0.0,1.0
25.918,0.0,1.0
25.978,0.0,0.9641
26.008,0.0,0.9641
26.069,0.0,0.8041
26.109,0.0,0.7406
26.178,0.0,0.5806
26.209,0.0,0.4386
26.269,0.0,0.2786
26.319,0.0,0.1186
26.379,0.0,0.2786
26.418,0.0,0.4386
26.489,0.0,0.5986
26.519,0.0,0.7586
26.558,0.0,0.9186
26.628,0.0,1.0786
26.659,0.0,1.2386
26.729,0.0,1.3986
26.758,0.0,1.5586
26.818,0.0,1.6284
26.858,0.0,1.4684
26.917,0.0,1.4368
26.96,0.0,1.4368
27.018,0.0,1.2768
27.078,0.0,1.2453
27.131,0.0,1.2453
27.168,0.0,1.2453
27.219,0.0,1.2453
27.258,0.0,1.2453
27.307,0.0,1.2453
27.348,0.1095,1.4053
27.429,0.2345,1.5653
27.468,0.1916,1.7253
27.53,0.1916,1.82
27.571,0.26,1.82
27.629,0.26,1.82
27.668,0.26,1.66
27.708,0.26,1.6284
27.778,0.2326,1.6284
27.808,0.26,1.6284
27.88,0.2463,1.6284
27.92,0.2463,1.6284
27.989,0.2463,1.6284
28.02,0.2463,1.6284
28.058,0.2463,1.6284
28.131,0.26,1.4684
28.169,0.26,1.4368
28.228,0.26,1.4368
28.27,0.26,1.4368
28.297,0.26,1.4368
28.358,0.26,1.4368
28.398,0.2463,1.2768
28.478,0.2326,1.2453
28.52,0.2463,1.0853
28.577,0.2463,1.0537
28.608,0.2463,1.0537
28.668,0.2326,1.0537
28.709,0.2326,1.0537
28.779,0.2326,1.0537
28.809,0.2463,0.8937
28.868,0.2463,0.8621
28.929,0.2463,0.8621
28.958,0.2326,0.8621
29.009,0.2326,0.8621
29.069,0.2326,0.8621
29.097,0.2326,0.8621
29.168,0.2189,0.8621
29.229,0.26,0.8621
29.269,0.26,0.7021
29.319,0.2463,0.6705
29.36,0.2463,0.6705
29.429,0.2463,0.8305
29.459,0.2463,0.8621
29.539,0.2463,0.7021
29.588,0.2463,0.6705
29.619,0.1213,0.5105
29.658,0.0,0.3505
29.718,0.0,0.1905
29.778,0.0,0.0305
29.808,0.0,0.0
29.857,0.0,0.0
29.908,0.0,0.0
29.969,0.0,0.0
30.019,0.0,0.0
30.058,0.0,0.0
